{1323953778.28747__0,  payment_id, 99.9, true, created_at}
{1323953778.28747__1000, payment_id, 100.1, true, created_at}
{1323953778.28747__1,  payment_id, 99.9, true, created_at}
{1323953778.28747__1001, payment_id, 100.1, true, created_at}
{1323953778.28747__2,  payment_id, 99.9, true, created_at}
{1323953778.28747__1002, payment_id, 100.1, true, created_at}
{1323953778.28747__3,  payment_id, 99.9, true, created_at}
{1323953778.28747__1003, payment_id, 100.1, true, created_at}
{1323953778.28747__4,  payment_id, 99.9, true, created_at}
{1323953778.28747__1004, payment_id, 100.1, true, created_at}
{1323953778.28747__5,  payment_id, 99.9, true, created_at}
{1323953778.28747__1005, payment_id, 100.1, true, created_at}
{1323953778.28747__6,  payment_id, 99.9, true, created_at}
{1323953778.28747__1006, payment_id, 100.1, true, created_at}
{1323953778.28747__7,  payment_id, 99.9, true, created_at}
{1323953778.28747__1007, payment_id, 100.1, true, created_at}
{1323953778.28747__8,  payment_id, 99.9, true, created_at}
{1323953778.28747__1008, payment_id, 100.1, true, created_at}
{1323953778.28747__9,  payment_id, 99.9, true, created_at}
{1323953778.28747__1009, payment_id, 100.1, true, created_at}
{1323953778.28747__10,  payment_id, 99.9, true, created_at}
{1323953778.28747__1010, payment_id, 100.1, true, created_at}
{1323953778.28747__11,  payment_id, 99.9, true, created_at}
{1323953778.28747__1011, payment_id, 100.1, true, created_at}
{1323953778.28747__12,  payment_id, 99.9, true, created_at}
{1323953778.28747__1012, payment_id, 100.1, true, created_at}
{1323953778.28747__13,  payment_id, 99.9, true, created_at}
{1323953778.28747__1013, payment_id, 100.1, true, created_at}
{1323953778.28747__14,  payment_id, 99.9, true, created_at}
{1323953778.28747__1014, payment_id, 100.1, true, created_at}
{1323953778.28747__15,  payment_id, 99.9, true, created_at}
{1323953778.28747__1015, payment_id, 100.1, true, created_at}
{1323953778.28747__16,  payment_id, 99.9, true, created_at}
{1323953778.28747__1016, payment_id, 100.1, true, created_at}
{1323953778.28747__17,  payment_id, 99.9, true, created_at}
{1323953778.28747__1017, payment_id, 100.1, true, created_at}
{1323953778.28747__18,  payment_id, 99.9, true, created_at}
{1323953778.28747__1018, payment_id, 100.1, true, created_at}
{1323953778.28747__19,  payment_id, 99.9, true, created_at}
{1323953778.28747__1019, payment_id, 100.1, true, created_at}
{1323953778.28747__20,  payment_id, 99.9, true, created_at}
{1323953778.28747__1020, payment_id, 100.1, true, created_at}
{1323953778.28747__21,  payment_id, 99.9, true, created_at}
{1323953778.28747__1021, payment_id, 100.1, true, created_at}
{1323953778.28747__22,  payment_id, 99.9, true, created_at}
{1323953778.28747__1022, payment_id, 100.1, true, created_at}
{1323953778.28747__23,  payment_id, 99.9, true, created_at}
{1323953778.28747__1023, payment_id, 100.1, true, created_at}
{1323953778.28747__24,  payment_id, 99.9, true, created_at}
{1323953778.28747__1024, payment_id, 100.1, true, created_at}
{1323953778.28747__25,  payment_id, 99.9, true, created_at}
{1323953778.28747__1025, payment_id, 100.1, true, created_at}
{1323953778.28747__26,  payment_id, 99.9, true, created_at}
{1323953778.28747__1026, payment_id, 100.1, true, created_at}
{1323953778.28747__27,  payment_id, 99.9, true, created_at}
{1323953778.28747__1027, payment_id, 100.1, true, created_at}
{1323953778.28747__28,  payment_id, 99.9, true, created_at}
{1323953778.28747__1028, payment_id, 100.1, true, created_at}
{1323953778.28747__29,  payment_id, 99.9, true, created_at}
{1323953778.28747__1029, payment_id, 100.1, true, created_at}
{1323953778.28747__30,  payment_id, 99.9, true, created_at}
{1323953778.28747__1030, payment_id, 100.1, true, created_at}
{1323953778.28747__31,  payment_id, 99.9, true, created_at}
{1323953778.28747__1031, payment_id, 100.1, true, created_at}
{1323953778.28747__32,  payment_id, 99.9, true, created_at}
{1323953778.28747__1032, payment_id, 100.1, true, created_at}
{1323953778.28747__33,  payment_id, 99.9, true, created_at}
{1323953778.28747__1033, payment_id, 100.1, true, created_at}
{1323953778.28747__34,  payment_id, 99.9, true, created_at}
{1323953778.28747__1034, payment_id, 100.1, true, created_at}
{1323953778.28747__35,  payment_id, 99.9, true, created_at}
{1323953778.28747__1035, payment_id, 100.1, true, created_at}
{1323953778.28747__36,  payment_id, 99.9, true, created_at}
{1323953778.28747__1036, payment_id, 100.1, true, created_at}
{1323953778.28747__37,  payment_id, 99.9, true, created_at}
{1323953778.28747__1037, payment_id, 100.1, true, created_at}
{1323953778.28747__38,  payment_id, 99.9, true, created_at}
{1323953778.28747__1038, payment_id, 100.1, true, created_at}
{1323953778.28747__39,  payment_id, 99.9, true, created_at}
{1323953778.28747__1039, payment_id, 100.1, true, created_at}
{1323953778.28747__40,  payment_id, 99.9, true, created_at}
{1323953778.28747__1040, payment_id, 100.1, true, created_at}
{1323953778.28747__41,  payment_id, 99.9, true, created_at}
{1323953778.28747__1041, payment_id, 100.1, true, created_at}
{1323953778.28747__42,  payment_id, 99.9, true, created_at}
{1323953778.28747__1042, payment_id, 100.1, true, created_at}
{1323953778.28747__43,  payment_id, 99.9, true, created_at}
{1323953778.28747__1043, payment_id, 100.1, true, created_at}
{1323953778.28747__44,  payment_id, 99.9, true, created_at}
{1323953778.28747__1044, payment_id, 100.1, true, created_at}
{1323953778.28747__45,  payment_id, 99.9, true, created_at}
{1323953778.28747__1045, payment_id, 100.1, true, created_at}
{1323953778.28747__46,  payment_id, 99.9, true, created_at}
{1323953778.28747__1046, payment_id, 100.1, true, created_at}
{1323953778.28747__47,  payment_id, 99.9, true, created_at}
{1323953778.28747__1047, payment_id, 100.1, true, created_at}
{1323953778.28747__48,  payment_id, 99.9, true, created_at}
{1323953778.28747__1048, payment_id, 100.1, true, created_at}
{1323953778.28747__49,  payment_id, 99.9, true, created_at}
{1323953778.28747__1049, payment_id, 100.1, true, created_at}
{1323953778.28747__50,  payment_id, 99.9, true, created_at}
{1323953778.28747__1050, payment_id, 100.1, true, created_at}
{1323953778.28747__51,  payment_id, 99.9, true, created_at}
{1323953778.28747__1051, payment_id, 100.1, true, created_at}
{1323953778.28747__52,  payment_id, 99.9, true, created_at}
{1323953778.28747__1052, payment_id, 100.1, true, created_at}
{1323953778.28747__53,  payment_id, 99.9, true, created_at}
{1323953778.28747__1053, payment_id, 100.1, true, created_at}
{1323953778.28747__54,  payment_id, 99.9, true, created_at}
{1323953778.28747__1054, payment_id, 100.1, true, created_at}
{1323953778.28747__55,  payment_id, 99.9, true, created_at}
{1323953778.28747__1055, payment_id, 100.1, true, created_at}
{1323953778.28747__56,  payment_id, 99.9, true, created_at}
{1323953778.28747__1056, payment_id, 100.1, true, created_at}
{1323953778.28747__57,  payment_id, 99.9, true, created_at}
{1323953778.28747__1057, payment_id, 100.1, true, created_at}
{1323953778.28747__58,  payment_id, 99.9, true, created_at}
