{1323873994.734765__0,  payment_id, 99.9, false, created_at}
{1323873994.734765__1000, payment_id, 100.1, false, created_at}
{1323873994.734765__1,  payment_id, 99.9, false, created_at}
{1323873994.734765__1001, payment_id, 100.1, false, created_at}
{1323873994.734765__2,  payment_id, 99.9, false, created_at}
{1323873994.734765__1002, payment_id, 100.1, false, created_at}
{1323873994.734765__3,  payment_id, 99.9, false, created_at}
{1323873994.734765__1003, payment_id, 100.1, false, created_at}
{1323873994.734765__4,  payment_id, 99.9, false, created_at}
{1323873994.734765__1004, payment_id, 100.1, false, created_at}
{1323873994.734765__5,  payment_id, 99.9, false, created_at}
{1323873994.734765__1005, payment_id, 100.1, false, created_at}
{1323873994.734765__6,  payment_id, 99.9, false, created_at}
{1323873994.734765__1006, payment_id, 100.1, false, created_at}
{1323873994.734765__7,  payment_id, 99.9, false, created_at}
{1323873994.734765__1007, payment_id, 100.1, false, created_at}
{1323873994.734765__8,  payment_id, 99.9, false, created_at}
{1323873994.734765__1008, payment_id, 100.1, false, created_at}
{1323873994.734765__9,  payment_id, 99.9, false, created_at}
{1323873994.734765__1009, payment_id, 100.1, false, created_at}
{1323873994.734765__10,  payment_id, 99.9, false, created_at}
{1323873994.734765__1010, payment_id, 100.1, false, created_at}
{1323873994.734765__11,  payment_id, 99.9, false, created_at}
{1323873994.734765__1011, payment_id, 100.1, false, created_at}
{1323873994.734765__12,  payment_id, 99.9, false, created_at}
{1323873994.734765__1012, payment_id, 100.1, false, created_at}
{1323873994.734765__13,  payment_id, 99.9, false, created_at}
{1323873994.734765__1013, payment_id, 100.1, false, created_at}
{1323873994.734765__14,  payment_id, 99.9, false, created_at}
{1323873994.734765__1014, payment_id, 100.1, false, created_at}
{1323873994.734765__15,  payment_id, 99.9, false, created_at}
{1323873994.734765__1015, payment_id, 100.1, false, created_at}
{1323873994.734765__16,  payment_id, 99.9, false, created_at}
{1323873994.734765__1016, payment_id, 100.1, false, created_at}
{1323873994.734765__17,  payment_id, 99.9, false, created_at}
{1323873994.734765__1017, payment_id, 100.1, false, created_at}
{1323873994.734765__18,  payment_id, 99.9, false, created_at}
{1323873994.734765__1018, payment_id, 100.1, false, created_at}
{1323873994.734765__19,  payment_id, 99.9, false, created_at}
{1323873994.734765__1019, payment_id, 100.1, false, created_at}
{1323873994.734765__20,  payment_id, 99.9, false, created_at}
{1323873994.734765__1020, payment_id, 100.1, false, created_at}
{1323873994.734765__21,  payment_id, 99.9, false, created_at}
{1323873994.734765__1021, payment_id, 100.1, false, created_at}
{1323873994.734765__22,  payment_id, 99.9, false, created_at}
{1323873994.734765__1022, payment_id, 100.1, false, created_at}
{1323873994.734765__23,  payment_id, 99.9, false, created_at}
{1323873994.734765__1023, payment_id, 100.1, false, created_at}
{1323873994.734765__24,  payment_id, 99.9, false, created_at}
{1323873994.734765__1024, payment_id, 100.1, false, created_at}
{1323873994.734765__25,  payment_id, 99.9, false, created_at}
{1323873994.734765__1025, payment_id, 100.1, false, created_at}
{1323873994.734765__26,  payment_id, 99.9, false, created_at}
{1323873994.734765__1026, payment_id, 100.1, false, created_at}
{1323873994.734765__27,  payment_id, 99.9, false, created_at}
